[2019-08-05 07:49:05,892]: ---mrmd 2.0 start----
[2019-08-05 07:49:06,194]: ANOVA start...
[2019-08-05 07:49:06,204]: ANOVA end.
[2019-08-05 07:49:06,204]: mic start...
[2019-08-05 07:49:13,571]: mic end.
[2019-08-05 07:49:13,571]: mrmd start...
[2019-08-05 07:49:13,892]: mrmd end.
[2019-08-05 07:49:13,892]: mRMR start...
[2019-08-05 07:49:26,539]: mRMR end.
[2019-08-05 07:49:26,539]: lasso start...
[2019-08-05 07:49:26,886]: lasso end.
[2019-08-05 07:49:28,237]: rank start ...
[2019-08-05 07:49:28,252]: The final  rank is
[2019-08-05 07:49:28,252]: Janin_P : 0.0078
[2019-08-05 07:49:28,252]: Janin_D : 0.0074
[2019-08-05 07:49:28,252]: Hopp_Woods_R : 0.0071
[2019-08-05 07:49:28,253]: Rose_I : 0.0069
[2019-08-05 07:49:28,253]: hydrophily : 0.0069
[2019-08-05 07:49:28,253]: Engelman_GES_D : 0.0069
[2019-08-05 07:49:28,253]: Cornette_C : 0.0069
[2019-08-05 07:49:28,253]: Cornette_T : 0.0068
[2019-08-05 07:49:28,253]: Kyte_Doolittle_I : 0.0068
[2019-08-05 07:49:28,253]: Engelman_GES_S : 0.0067
[2019-08-05 07:49:28,253]: Rose_P : 0.0067
[2019-08-05 07:49:28,253]: Cornette_V : 0.0067
[2019-08-05 07:49:28,253]: Kyte_Doolittle_A : 0.0067
[2019-08-05 07:49:28,253]: basic_polar : 0.0066
[2019-08-05 07:49:28,254]: Cornette_P : 0.0066
[2019-08-05 07:49:28,254]: Rose_R : 0.0065
[2019-08-05 07:49:28,254]: Rose_S : 0.0065
[2019-08-05 07:49:28,254]: Cornette_F : 0.0065
[2019-08-05 07:49:28,254]: Hopp_Woods_A : 0.0065
[2019-08-05 07:49:28,254]: Hopp_Woods_I : 0.0064
[2019-08-05 07:49:28,254]: Engelman_GES_Q : 0.0064
[2019-08-05 07:49:28,254]: Hopp_Woods_D : 0.0064
[2019-08-05 07:49:28,254]: polar : 0.0063
[2019-08-05 07:49:28,254]: Engelman_GES_R : 0.0063
[2019-08-05 07:49:28,254]: Eisenberg_R : 0.0063
[2019-08-05 07:49:28,254]: Engelman_GES_N : 0.0062
[2019-08-05 07:49:28,255]: Cornette_W : 0.0062
[2019-08-05 07:49:28,255]: Rose_L : 0.0062
[2019-08-05 07:49:28,255]: Cornette_K : 0.0062
