[2019-08-02 21:47:33,536]: ---mrmd 2.0 start----
[2019-08-02 21:47:36,443]: ANOVA start...
[2019-08-02 21:47:37,496]: ANOVA end.
[2019-08-02 21:47:37,497]: mic start...
[2019-08-02 21:48:09,234]: mic end.
[2019-08-02 21:48:09,235]: mrmd start...
[2019-08-02 21:48:18,083]: mrmd end.
[2019-08-02 21:48:18,085]: mRMR start...
[2019-08-02 23:34:18,160]: mRMR end.
[2019-08-02 23:34:18,164]: lasso start...
[2019-08-02 23:34:18,726]: lasso end.
[2019-08-02 23:35:56,246]: rank start ...
[2019-08-02 23:35:56,317]: The final  rank is
[2019-08-02 23:35:56,318]: 292_DACC : 0.0029
[2019-08-02 23:35:56,318]: 307_DACC : 0.0028
[2019-08-02 23:35:56,663]: 41_DACC : 0.0028
[2019-08-02 23:35:56,663]: 346_DACC : 0.0028
[2019-08-02 23:35:56,663]: 82_DACC : 0.0028
[2019-08-02 23:35:56,663]: 257_DACC : 0.0028
[2019-08-02 23:35:56,663]: 91_DACC : 0.0028
[2019-08-02 23:35:56,663]: 59_DACC : 0.0028
[2019-08-02 23:35:56,664]: 348_DACC : 0.0028
[2019-08-02 23:35:56,664]: 48_DACC : 0.0028
[2019-08-02 23:35:56,664]: 179_DACC : 0.0028
[2019-08-02 23:35:56,664]: 92_DACC : 0.0028
[2019-08-02 23:35:56,664]: 168_DACC : 0.0028
[2019-08-02 23:35:56,664]: AC_Kmer2 : 0.0028
[2019-08-02 23:35:56,664]: 336_DACC : 0.0028
[2019-08-02 23:35:56,664]: 276_DACC : 0.0028
[2019-08-02 23:35:56,664]: 68_DACC : 0.0028
[2019-08-02 23:35:56,664]: 77_DACC : 0.0028
[2019-08-02 23:35:56,664]: 278_DACC : 0.0028
[2019-08-02 23:35:56,665]: 56_DACC : 0.0028
[2019-08-02 23:35:56,665]: 258_DACC : 0.0028
[2019-08-02 23:35:56,665]: 313_DACC : 0.0028
[2019-08-02 23:35:56,665]: 267_DACC : 0.0027
[2019-08-02 23:35:56,665]: 229_DACC : 0.0027
[2019-08-02 23:35:56,665]: 2_DACC : 0.0027
[2019-08-02 23:35:56,665]: 182_DACC : 0.0027
[2019-08-02 23:35:56,665]: 310_DACC : 0.0027
[2019-08-02 23:35:56,666]: 237_DACC : 0.0027
[2019-08-02 23:35:56,666]: 9_DACC : 0.0027
[2019-08-02 23:35:56,666]: lambda8_PC-PseDNC-General : 0.0027
[2019-08-02 23:35:56,666]: 306_DACC : 0.0027
[2019-08-02 23:35:56,666]: 159_DACC : 0.0027
[2019-08-02 23:35:56,666]: 54_DACC : 0.0027
[2019-08-02 23:35:56,666]: CU_Kmer2 : 0.0027
[2019-08-02 23:35:56,666]: 219_DACC : 0.0027
[2019-08-02 23:35:56,666]: 339_DACC : 0.0027
[2019-08-02 23:35:56,666]: 186_DACC : 0.0027
[2019-08-02 23:35:56,667]: 190_DACC : 0.0027
[2019-08-02 23:35:56,667]: 157_DACC : 0.0027
[2019-08-02 23:35:56,667]: 173_DACC : 0.0027
[2019-08-02 23:35:56,667]: 144_DACC : 0.0027
[2019-08-02 23:35:56,667]: 187_DACC : 0.0027
[2019-08-02 23:35:56,667]: 129_DACC : 0.0027
[2019-08-02 23:35:56,667]: 279_DACC : 0.0027
[2019-08-02 23:35:56,667]: 36_DACC : 0.0027
[2019-08-02 23:35:56,667]: 344_DACC : 0.0027
[2019-08-02 23:35:56,667]: 58_DACC : 0.0027
[2019-08-02 23:35:56,668]: 63_DACC : 0.0027
[2019-08-02 23:35:56,668]: 263_DACC : 0.0027
[2019-08-02 23:35:56,668]: 15_DACC : 0.0027
[2019-08-02 23:35:56,668]: 203_DACC : 0.0027
[2019-08-02 23:35:56,668]: 66_DACC : 0.0027
[2019-08-02 23:35:56,668]: 287_DACC : 0.0027
[2019-08-02 23:35:56,668]: 167_DACC : 0.0027
[2019-08-02 23:35:56,668]: 10_DACC : 0.0027
[2019-08-02 23:35:56,668]: 243_DACC : 0.0027
[2019-08-02 23:35:56,668]: 149_DACC : 0.0027
[2019-08-02 23:35:56,668]: 132_DACC : 0.0027
[2019-08-02 23:35:56,669]: 341_DACC : 0.0027
[2019-08-02 23:35:56,669]: 233_DACC : 0.0027
[2019-08-02 23:35:56,669]: 62_DACC : 0.0027
[2019-08-02 23:35:56,669]: GC_Kmer2 : 0.0027
[2019-08-02 23:35:56,669]: 136_DACC : 0.0027
[2019-08-02 23:35:56,669]: 283_DACC : 0.0027
[2019-08-02 23:35:56,669]: 14_DACC : 0.0027
[2019-08-02 23:35:56,669]: GG_Kmer2 : 0.0027
[2019-08-02 23:35:56,669]: 253_DACC : 0.0027
[2019-08-02 23:35:56,669]: 178_DACC : 0.0027
[2019-08-02 23:35:56,669]: 47_DACC : 0.0027
[2019-08-02 23:35:56,670]: 140_DACC : 0.0027
[2019-08-02 23:35:56,670]: 226_DACC : 0.0027
[2019-08-02 23:35:56,670]: 24_DACC : 0.0027
[2019-08-02 23:35:56,670]: 328_DACC : 0.0027
[2019-08-02 23:35:56,670]: 319_DACC : 0.0027
[2019-08-02 23:35:56,670]: 223_DACC : 0.0027
[2019-08-02 23:35:56,670]: 299_DACC : 0.0027
[2019-08-02 23:35:56,671]: 259_DACC : 0.0027
[2019-08-02 23:35:56,671]: 333_DACC : 0.0027
[2019-08-02 23:35:56,671]: 200_DACC : 0.0027
[2019-08-02 23:35:56,671]: 172_DACC : 0.0027
[2019-08-02 23:35:56,671]: 22_DACC : 0.0027
[2019-08-02 23:35:56,672]: 232_DACC : 0.0027
[2019-08-02 23:35:56,672]: 39_DACC : 0.0027
[2019-08-02 23:35:56,672]: 322_DACC : 0.0027
[2019-08-02 23:35:56,672]: 248_DACC : 0.0027
[2019-08-02 23:35:56,672]: 317_DACC : 0.0027
[2019-08-02 23:35:56,672]: 280_DACC : 0.0027
[2019-08-02 23:35:56,673]: 202_DACC : 0.0027
[2019-08-02 23:35:56,673]: 271_DACC : 0.0027
[2019-08-02 23:35:56,673]: CA_Kmer2 : 0.0027
[2019-08-02 23:35:56,673]: 342_DACC : 0.0027
[2019-08-02 23:35:56,673]: 262_DACC : 0.0027
[2019-08-02 23:35:56,673]: 147_DACC : 0.0027
[2019-08-02 23:35:56,674]: 254_DACC : 0.0027
[2019-08-02 23:35:56,674]: 359_DACC : 0.0027
[2019-08-02 23:35:56,674]: 340_DACC : 0.0027
[2019-08-02 23:35:56,674]: 53_DACC : 0.0027
[2019-08-02 23:35:56,674]: 38_DACC : 0.0027
[2019-08-02 23:35:56,674]: 96_DACC : 0.0027
[2019-08-02 23:35:56,674]: 225_DACC : 0.0027
[2019-08-02 23:35:56,674]: CC_PC-PseDNC-General : 0.0027
[2019-08-02 23:35:56,674]: 246_DACC : 0.0027
[2019-08-02 23:35:56,674]: 151_DACC : 0.0027
[2019-08-02 23:35:56,674]: 112_DACC : 0.0027
[2019-08-02 23:35:56,675]: 161_DACC : 0.0027
[2019-08-02 23:35:56,675]: 264_DACC : 0.0027
[2019-08-02 23:35:56,675]: 114_DACC : 0.0027
[2019-08-02 23:35:56,675]: GU_Kmer2 : 0.0027
[2019-08-02 23:35:56,675]: 27_DACC : 0.0027
[2019-08-02 23:35:56,676]: 217_DACC : 0.0027
[2019-08-02 23:35:56,676]: 191_DACC : 0.0027
[2019-08-02 23:35:56,676]: 358_DACC : 0.0027
[2019-08-02 23:35:56,676]: 239_DACC : 0.0027
[2019-08-02 23:35:56,676]: 71_DACC : 0.0027
[2019-08-02 23:35:56,676]: 216_DACC : 0.0027
[2019-08-02 23:35:56,676]: 123_DACC : 0.0027
[2019-08-02 23:35:56,676]: 26_DACC : 0.0027
[2019-08-02 23:35:56,676]: 209_DACC : 0.0027
[2019-08-02 23:35:56,677]: 126_DACC : 0.0027
[2019-08-02 23:35:56,677]: 170_DACC : 0.0027
[2019-08-02 23:35:56,677]: 76_DACC : 0.0027
[2019-08-02 23:35:56,677]: UU_Kmer2 : 0.0027
[2019-08-02 23:35:56,677]: 28_DACC : 0.0027
[2019-08-02 23:35:56,677]: 277_DACC : 0.0027
[2019-08-02 23:35:56,677]: 3_DACC : 0.0027
[2019-08-02 23:35:56,677]: 108_DACC : 0.0027
[2019-08-02 23:35:56,677]: 142_DACC : 0.0027
[2019-08-02 23:35:56,677]: UU_PC-PseDNC-General : 0.0027
[2019-08-02 23:35:56,677]: 67_DACC : 0.0027
[2019-08-02 23:35:56,678]: 61_DACC : 0.0027
[2019-08-02 23:35:56,678]: 138_DACC : 0.0027
[2019-08-02 23:35:56,678]: 102_DACC : 0.0027
[2019-08-02 23:35:56,678]: 324_DACC : 0.0026
[2019-08-02 23:35:56,678]: lambda7_PC-PseDNC-General : 0.0026
[2019-08-02 23:35:56,678]: 163_DACC : 0.0026
[2019-08-02 23:35:56,678]: 122_DACC : 0.0026
[2019-08-02 23:35:56,678]: 104_DACC : 0.0026
[2019-08-02 23:35:56,678]: 156_DACC : 0.0026
[2019-08-02 23:35:56,678]: 207_DACC : 0.0026
[2019-08-02 23:35:56,678]: 315_DACC : 0.0026
[2019-08-02 23:35:56,679]: 250_DACC : 0.0026
[2019-08-02 23:35:56,679]: UA_PC-PseDNC-General : 0.0026
[2019-08-02 23:35:56,679]: 288_DACC : 0.0026
[2019-08-02 23:35:56,679]: 347_DACC : 0.0026
[2019-08-02 23:35:56,679]: 103_DACC : 0.0026
[2019-08-02 23:35:56,679]: 256_DACC : 0.0026
[2019-08-02 23:35:56,679]: 343_DACC : 0.0026
[2019-08-02 23:35:56,679]: 302_DACC : 0.0026
[2019-08-02 23:35:56,679]: 70_DACC : 0.0026
[2019-08-02 23:35:56,680]: 177_DACC : 0.0026
[2019-08-02 23:35:56,680]: 143_DACC : 0.0026
[2019-08-02 23:35:56,680]: 113_DACC : 0.0026
[2019-08-02 23:35:56,680]: 60_DACC : 0.0026
[2019-08-02 23:35:56,680]: 183_DACC : 0.0026
[2019-08-02 23:35:56,680]: 162_DACC : 0.0026
[2019-08-02 23:35:56,680]: 45_DACC : 0.0026
[2019-08-02 23:35:56,681]: 312_DACC : 0.0026
[2019-08-02 23:35:56,681]: 105_DACC : 0.0026
[2019-08-02 23:35:56,681]: 193_DACC : 0.0026
[2019-08-02 23:35:56,681]: 294_DACC : 0.0026
[2019-08-02 23:35:56,681]: 199_DACC : 0.0026
[2019-08-02 23:35:56,681]: 30_DACC : 0.0026
[2019-08-02 23:35:56,681]: 98_DACC : 0.0026
[2019-08-02 23:35:56,682]: 286_DACC : 0.0026
[2019-08-02 23:35:56,682]: 353_DACC : 0.0026
[2019-08-02 23:35:56,682]: 247_DACC : 0.0026
[2019-08-02 23:35:56,682]: 57_DACC : 0.0026
[2019-08-02 23:35:56,682]: 52_DACC : 0.0026
[2019-08-02 23:35:56,682]: 318_DACC : 0.0026
[2019-08-02 23:35:56,683]: 195_DACC : 0.0026
[2019-08-02 23:35:56,683]: 11_DACC : 0.0026
[2019-08-02 23:35:56,683]: 72_DACC : 0.0026
[2019-08-02 23:35:56,683]: 133_DACC : 0.0026
[2019-08-02 23:35:56,683]: 337_DACC : 0.0026
[2019-08-02 23:35:56,683]: 97_DACC : 0.0026
[2019-08-02 23:35:56,683]: 20_DACC : 0.0026
[2019-08-02 23:35:56,683]: 196_DACC : 0.0026
[2019-08-02 23:35:56,684]: 107_DACC : 0.0026
[2019-08-02 23:35:56,684]: 153_DACC : 0.0026
[2019-08-02 23:35:56,684]: 8_DACC : 0.0026
[2019-08-02 23:35:56,684]: 192_DACC : 0.0026
[2019-08-02 23:35:56,684]: 345_DACC : 0.0026
[2019-08-02 23:35:56,684]: 32_DACC : 0.0026
[2019-08-02 23:35:56,685]: 238_DACC : 0.0026
[2019-08-02 23:35:56,685]: 357_DACC : 0.0026
[2019-08-02 23:35:56,685]: 301_DACC : 0.0026
[2019-08-02 23:35:56,685]: 50_DACC : 0.0026
[2019-08-02 23:35:56,685]: 314_DACC : 0.0026
[2019-08-02 23:35:56,685]: 51_DACC : 0.0026
[2019-08-02 23:35:56,686]: 352_DACC : 0.0026
[2019-08-02 23:35:56,686]: 127_DACC : 0.0026
[2019-08-02 23:35:56,686]: 230_DACC : 0.0026
[2019-08-02 23:35:56,686]: 73_DACC : 0.0026
[2019-08-02 23:35:56,686]: 213_DACC : 0.0026
[2019-08-02 23:35:56,686]: 325_DACC : 0.0026
[2019-08-02 23:35:56,687]: 316_DACC : 0.0026
[2019-08-02 23:35:56,687]: 197_DACC : 0.0026
[2019-08-02 23:35:56,687]: 198_DACC : 0.0026
[2019-08-02 23:35:56,687]: 297_DACC : 0.0026
[2019-08-02 23:35:56,687]: 211_DACC : 0.0026
[2019-08-02 23:35:56,687]: AU_PC-PseDNC-General : 0.0026
[2019-08-02 23:35:56,687]: 222_DACC : 0.0026
[2019-08-02 23:35:56,688]: 44_DACC : 0.0026
[2019-08-02 23:35:56,688]: 188_DACC : 0.0026
[2019-08-02 23:35:56,688]: UC_Kmer2 : 0.0026
[2019-08-02 23:35:56,688]: 110_DACC : 0.0026
[2019-08-02 23:35:56,688]: UG_Kmer2 : 0.0026
[2019-08-02 23:35:56,688]: 78_DACC : 0.0025
[2019-08-02 23:35:56,688]: CG_Kmer2 : 0.0025
[2019-08-02 23:35:56,688]: 46_DACC : 0.0025
[2019-08-02 23:35:56,688]: 308_DACC : 0.0025
[2019-08-02 23:35:56,688]: 33_DACC : 0.0025
[2019-08-02 23:35:56,688]: 137_DACC : 0.0025
[2019-08-02 23:35:56,689]: 37_DACC : 0.0025
[2019-08-02 23:35:56,689]: 205_DACC : 0.0025
[2019-08-02 23:35:56,689]: 329_DACC : 0.0025
[2019-08-02 23:35:56,689]: 228_DACC : 0.0025
[2019-08-02 23:35:56,689]: 85_DACC : 0.0024
[2019-08-02 23:35:56,689]: 221_DACC : 0.0024
[2019-08-02 23:35:56,689]: 266_DACC : 0.0024
[2019-08-02 23:35:56,690]: 215_DACC : 0.0024
[2019-08-02 23:35:56,690]: 355_DACC : 0.0024
[2019-08-02 23:35:56,690]: 100_DACC : 0.0024
[2019-08-02 23:35:56,690]: 90_DACC : 0.0024
[2019-08-02 23:35:56,690]: 83_DACC : 0.0024
[2019-08-02 23:35:56,690]: 164_DACC : 0.0024
[2019-08-02 23:35:56,690]: 19_DACC : 0.0024
[2019-08-02 23:35:56,690]: 146_DACC : 0.0024
[2019-08-02 23:35:56,690]: 86_DACC : 0.0024
[2019-08-02 23:35:56,690]: 55_DACC : 0.0024
[2019-08-02 23:35:56,690]: 285_DACC : 0.0024
[2019-08-02 23:35:56,691]: 235_DACC : 0.0024
[2019-08-02 23:35:56,691]: 158_DACC : 0.0024
[2019-08-02 23:35:56,691]: 21_DACC : 0.0024
[2019-08-02 23:35:56,691]: 261_DACC : 0.0024
[2019-08-02 23:35:56,691]: 87_DACC : 0.0024
[2019-08-02 23:35:56,691]: 16_DACC : 0.0024
[2019-08-02 23:35:56,691]: 169_DACC : 0.0024
[2019-08-02 23:35:56,692]: 69_DACC : 0.0024
[2019-08-02 23:35:56,692]: 118_DACC : 0.0024
[2019-08-02 23:35:56,692]: 34_DACC : 0.0024
[2019-08-02 23:35:56,692]: 291_DACC : 0.0024
[2019-08-02 23:35:56,692]: 154_DACC : 0.0024
[2019-08-02 23:35:56,692]: 43_DACC : 0.0024
[2019-08-02 23:35:56,692]: lambda4_PC-PseDNC-General : 0.0024
[2019-08-02 23:35:56,693]: 309_DACC : 0.0024
[2019-08-02 23:35:56,693]: 356_DACC : 0.0024
[2019-08-02 23:35:56,693]: 326_DACC : 0.0024
[2019-08-02 23:35:56,693]: 29_DACC : 0.0023
[2019-08-02 23:35:56,693]: 350_DACC : 0.0023
[2019-08-02 23:35:56,693]: 218_DACC : 0.0023
[2019-08-02 23:35:56,693]: 1_DACC : 0.0023
[2019-08-02 23:35:56,694]: 293_DACC : 0.0023
[2019-08-02 23:35:56,694]: 194_DACC : 0.0023
[2019-08-02 23:35:56,694]: 95_DACC : 0.0023
