[2019-08-02 21:41:45,664]: ---mrmd 2.0 start----
[2019-08-02 21:41:46,462]: ANOVA start...
[2019-08-02 21:41:46,664]: ANOVA end.
[2019-08-02 21:41:46,665]: mic start...
[2019-08-02 21:42:00,946]: mic end.
[2019-08-02 21:42:00,947]: mrmd start...
[2019-08-02 21:42:01,280]: mrmd end.
[2019-08-02 21:42:01,281]: mRMR start...
[2019-08-02 21:43:01,636]: mRMR end.
[2019-08-02 21:43:01,637]: lasso start...
[2019-08-02 21:43:01,818]: lasso end.
[2019-08-02 21:45:02,380]: rank start ...
[2019-08-02 21:45:02,397]: The final  rank is
[2019-08-02 21:45:02,398]: AU_PC-PseDNC-General : 0.0117
[2019-08-02 21:45:02,688]: 34_DAC : 0.0115
[2019-08-02 21:45:02,688]: GG_PC-PseDNC-General : 0.0115
[2019-08-02 21:45:02,688]: CA_Kmer2 : 0.0115
[2019-08-02 21:45:02,688]: 33_DAC : 0.0115
[2019-08-02 21:45:02,689]: 24_DAC : 0.0113
[2019-08-02 21:45:02,689]: 54_DAC : 0.0113
[2019-08-02 21:45:02,689]: 2_DAC : 0.0113
[2019-08-02 21:45:02,689]: 4_DAC : 0.0113
[2019-08-02 21:45:02,689]: 36_DAC : 0.0112
[2019-08-02 21:45:02,689]: 27_DAC : 0.0112
[2019-08-02 21:45:02,689]: 15_DAC : 0.0111
[2019-08-02 21:45:02,690]: 32_DAC : 0.0111
[2019-08-02 21:45:02,690]: GU_Kmer2 : 0.0111
[2019-08-02 21:45:02,690]: GA_Kmer2 : 0.0110
[2019-08-02 21:45:02,690]: 52_DAC : 0.0110
[2019-08-02 21:45:02,690]: 26_DAC : 0.0110
[2019-08-02 21:45:02,690]: lambda10_PC-PseDNC-General : 0.0110
[2019-08-02 21:45:02,690]: 56_DAC : 0.0110
[2019-08-02 21:45:02,690]: UU_Kmer2 : 0.0109
[2019-08-02 21:45:02,690]: 48_DAC : 0.0109
[2019-08-02 21:45:02,690]: 35_DAC : 0.0107
[2019-08-02 21:45:02,690]: 53_DAC : 0.0107
[2019-08-02 21:45:02,691]: 10_DAC : 0.0107
[2019-08-02 21:45:02,691]: UA_Kmer2 : 0.0106
[2019-08-02 21:45:02,691]: 21_DAC : 0.0106
[2019-08-02 21:45:02,691]: 16_DAC : 0.0106
[2019-08-02 21:45:02,691]: lambda9_PC-PseDNC-General : 0.0106
[2019-08-02 21:45:02,691]: UC_PC-PseDNC-General : 0.0106
[2019-08-02 21:45:02,691]: 58_DAC : 0.0105
[2019-08-02 21:45:02,691]: 22_DAC : 0.0105
[2019-08-02 21:45:02,691]: UU_PC-PseDNC-General : 0.0105
[2019-08-02 21:45:02,691]: lambda2_PC-PseDNC-General : 0.0105
[2019-08-02 21:45:02,691]: GC_Kmer2 : 0.0105
[2019-08-02 21:45:02,692]: AA_PC-PseDNC-General : 0.0104
[2019-08-02 21:45:02,692]: UA_PC-PseDNC-General : 0.0104
[2019-08-02 21:45:02,692]: 9_DAC : 0.0104
[2019-08-02 21:45:02,692]: 59_DAC : 0.0104
[2019-08-02 21:45:02,692]: CG_Kmer2 : 0.0104
[2019-08-02 21:45:02,692]: GU_PC-PseDNC-General : 0.0103
[2019-08-02 21:45:02,692]: 57_DAC : 0.0103
[2019-08-02 21:45:02,692]: 29_DAC : 0.0102
[2019-08-02 21:45:02,692]: UG_PC-PseDNC-General : 0.0102
[2019-08-02 21:45:02,692]: 11_DAC : 0.0100
[2019-08-02 21:45:02,692]: CG_PC-PseDNC-General : 0.0099
[2019-08-02 21:45:02,692]: 47_DAC : 0.0099
[2019-08-02 21:45:02,693]: 44_DAC : 0.0099
[2019-08-02 21:45:02,693]: 38_DAC : 0.0099
[2019-08-02 21:45:02,693]: 18_DAC : 0.0098
[2019-08-02 21:45:02,693]: 17_DAC : 0.0098
[2019-08-02 21:45:02,693]: lambda1_PC-PseDNC-General : 0.0098
[2019-08-02 21:45:02,693]: lambda7_PC-PseDNC-General : 0.0098
[2019-08-02 21:45:02,694]: 7_DAC : 0.0098
[2019-08-02 21:45:02,694]: 45_DAC : 0.0098
[2019-08-02 21:45:02,694]: AC_PC-PseDNC-General : 0.0098
[2019-08-02 21:45:02,694]: 37_DAC : 0.0097
[2019-08-02 21:45:02,694]: 23_DAC : 0.0097
[2019-08-02 21:45:02,694]: 28_DAC : 0.0097
[2019-08-02 21:45:02,694]: UG_Kmer2 : 0.0097
[2019-08-02 21:45:02,694]: 41_DAC : 0.0097
[2019-08-02 21:45:02,694]: CC_Kmer2 : 0.0097
[2019-08-02 21:45:02,694]: 14_DAC : 0.0096
[2019-08-02 21:45:02,695]: AC_Kmer2 : 0.0096
[2019-08-02 21:45:02,695]: GA_PC-PseDNC-General : 0.0096
[2019-08-02 21:45:02,695]: CU_PC-PseDNC-General : 0.0095
[2019-08-02 21:45:02,695]: AA_Kmer2 : 0.0095
[2019-08-02 21:45:02,695]: 50_DAC : 0.0094
[2019-08-02 21:45:02,695]: 19_DAC : 0.0094
[2019-08-02 21:45:02,695]: 39_DAC : 0.0094
[2019-08-02 21:45:02,695]: GC_PC-PseDNC-General : 0.0094
[2019-08-02 21:45:02,695]: 55_DAC : 0.0093
[2019-08-02 21:45:02,695]: GG_Kmer2 : 0.0093
[2019-08-02 21:45:02,695]: lambda8_PC-PseDNC-General : 0.0093
[2019-08-02 21:45:02,696]: 51_DAC : 0.0093
[2019-08-02 21:45:02,696]: lambda4_PC-PseDNC-General : 0.0093
[2019-08-02 21:45:02,696]: 31_DAC : 0.0093
[2019-08-02 21:45:02,696]: 43_DAC : 0.0093
[2019-08-02 21:45:02,697]: CC_PC-PseDNC-General : 0.0092
[2019-08-02 21:45:02,697]: 40_DAC : 0.0091
[2019-08-02 21:45:02,697]: 42_DAC : 0.0090
[2019-08-02 21:45:02,697]: 3_DAC : 0.0090
[2019-08-02 21:45:02,697]: 8_DAC : 0.0089
[2019-08-02 21:45:02,697]: 12_DAC : 0.0088
[2019-08-02 21:45:02,697]: AG_PC-PseDNC-General : 0.0088
[2019-08-02 21:45:02,697]: 13_DAC : 0.0087
[2019-08-02 21:45:02,697]: 1_DAC : 0.0086
[2019-08-02 21:45:02,697]: 5_DAC : 0.0086
[2019-08-02 21:45:02,698]: 60_DAC : 0.0085
[2019-08-02 21:45:02,698]: lambda5_PC-PseDNC-General : 0.0085
[2019-08-02 21:45:02,698]: 20_DAC : 0.0085
[2019-08-02 21:45:02,698]: AG_Kmer2 : 0.0083
[2019-08-02 21:45:02,698]: 46_DAC : 0.0082
[2019-08-02 21:45:02,698]: lambda3_PC-PseDNC-General : 0.0081
[2019-08-02 21:45:02,698]: 49_DAC : 0.0081
[2019-08-02 21:45:02,698]: AU_Kmer2 : 0.0080
[2019-08-02 21:45:02,698]: CA_PC-PseDNC-General : 0.0080
[2019-08-02 21:45:02,698]: 30_DAC : 0.0079
[2019-08-02 21:45:02,698]: UC_Kmer2 : 0.0078
[2019-08-02 21:45:02,699]: CU_Kmer2 : 0.0076
[2019-08-02 21:45:02,699]: 6_DAC : 0.0072
[2019-08-02 21:45:02,699]: lambda6_PC-PseDNC-General : 0.0069
[2019-08-02 21:45:02,699]: 25_DAC : 0.0066
[2019-08-02 21:45:02,699]: feature_rank end
[2019-08-02 21:45:02,780]: Start dimension reduction ...
[2019-08-02 21:45:18,334]: length=1 accuarcy=0.5484 f1=0.5475 precision=0.5489 recall=0.5485 roc=0.5485 
[2019-08-02 21:45:34,394]: length=2 accuarcy=0.5302 f1=0.5298 precision=0.5304 recall=0.5303 roc=0.5303 
[2019-08-02 21:45:50,164]: length=3 accuarcy=0.5203 f1=0.5200 precision=0.5202 recall=0.5202 roc=0.5202 
[2019-08-02 21:46:07,050]: length=4 accuarcy=0.5152 f1=0.5151 precision=0.5152 recall=0.5152 roc=0.5152 
[2019-08-02 21:46:23,296]: length=5 accuarcy=0.5445 f1=0.5442 precision=0.5446 recall=0.5444 roc=0.5444 
[2019-08-02 21:46:40,813]: length=6 accuarcy=0.5494 f1=0.5494 precision=0.5495 recall=0.5495 roc=0.5495 
[2019-08-02 21:46:59,171]: length=7 accuarcy=0.5486 f1=0.5482 precision=0.5486 recall=0.5485 roc=0.5485 
[2019-08-02 21:47:17,716]: length=8 accuarcy=0.5406 f1=0.5402 precision=0.5405 recall=0.5404 roc=0.5404 
[2019-08-02 21:47:37,220]: length=9 accuarcy=0.5537 f1=0.5531 precision=0.5538 recall=0.5535 roc=0.5535 
[2019-08-02 21:48:04,933]: length=10 accuarcy=0.5517 f1=0.5508 precision=0.5519 recall=0.5515 roc=0.5515 
[2019-08-02 21:48:27,551]: length=11 accuarcy=0.5517 f1=0.5514 precision=0.5516 recall=0.5515 roc=0.5515 
[2019-08-02 21:48:51,021]: length=12 accuarcy=0.5325 f1=0.5320 precision=0.5324 recall=0.5323 roc=0.5323 
[2019-08-02 21:49:14,468]: length=13 accuarcy=0.5376 f1=0.5365 precision=0.5376 recall=0.5374 roc=0.5374 
[2019-08-02 21:49:37,828]: length=14 accuarcy=0.5507 f1=0.5502 precision=0.5507 recall=0.5505 roc=0.5505 
[2019-08-02 21:50:00,366]: length=15 accuarcy=0.5527 f1=0.5519 precision=0.5528 recall=0.5525 roc=0.5525 
[2019-08-02 21:50:24,215]: length=16 accuarcy=0.5447 f1=0.5431 precision=0.5450 recall=0.5444 roc=0.5444 
[2019-08-02 21:50:47,792]: length=17 accuarcy=0.5548 f1=0.5535 precision=0.5550 recall=0.5545 roc=0.5545 
[2019-08-02 21:51:10,998]: length=18 accuarcy=0.5445 f1=0.5430 precision=0.5450 recall=0.5444 roc=0.5444 
[2019-08-02 21:51:35,188]: length=19 accuarcy=0.5596 f1=0.5591 precision=0.5599 recall=0.5596 roc=0.5596 
[2019-08-02 21:51:58,866]: length=20 accuarcy=0.5456 f1=0.5447 precision=0.5458 recall=0.5455 roc=0.5455 
[2019-08-02 21:52:22,587]: length=21 accuarcy=0.5647 f1=0.5643 precision=0.5648 recall=0.5646 roc=0.5646 
[2019-08-02 21:52:45,937]: length=22 accuarcy=0.5567 f1=0.5563 precision=0.5567 recall=0.5566 roc=0.5566 
[2019-08-02 21:53:09,188]: length=23 accuarcy=0.5495 f1=0.5490 precision=0.5497 recall=0.5495 roc=0.5495 
[2019-08-02 21:53:33,263]: length=24 accuarcy=0.5608 f1=0.5602 precision=0.5608 recall=0.5606 roc=0.5606 
[2019-08-02 21:53:57,365]: length=25 accuarcy=0.5294 f1=0.5286 precision=0.5295 recall=0.5293 roc=0.5293 
[2019-08-02 21:54:22,036]: length=26 accuarcy=0.5365 f1=0.5361 precision=0.5364 recall=0.5364 roc=0.5364 
[2019-08-02 21:54:46,374]: length=27 accuarcy=0.5597 f1=0.5588 precision=0.5600 recall=0.5596 roc=0.5596 
[2019-08-02 21:55:10,671]: length=28 accuarcy=0.5476 f1=0.5466 precision=0.5479 recall=0.5475 roc=0.5475 
[2019-08-02 21:55:35,172]: length=29 accuarcy=0.5476 f1=0.5469 precision=0.5477 recall=0.5475 roc=0.5475 
[2019-08-02 21:55:59,562]: length=30 accuarcy=0.5497 f1=0.5489 precision=0.5498 recall=0.5495 roc=0.5495 
[2019-08-02 21:56:24,520]: length=31 accuarcy=0.5556 f1=0.5552 precision=0.5557 recall=0.5556 roc=0.5556 
[2019-08-02 21:56:49,376]: length=32 accuarcy=0.5527 f1=0.5522 precision=0.5527 recall=0.5525 roc=0.5525 
[2019-08-02 21:57:16,984]: length=33 accuarcy=0.5676 f1=0.5675 precision=0.5678 recall=0.5677 roc=0.5677 
[2019-08-02 21:57:42,593]: length=34 accuarcy=0.5658 f1=0.5655 precision=0.5658 recall=0.5657 roc=0.5657 
[2019-08-02 21:58:07,541]: length=35 accuarcy=0.5718 f1=0.5712 precision=0.5721 recall=0.5717 roc=0.5717 
[2019-08-02 21:58:32,407]: length=36 accuarcy=0.5587 f1=0.5579 precision=0.5590 recall=0.5586 roc=0.5586 
[2019-08-02 21:58:57,273]: length=37 accuarcy=0.5487 f1=0.5479 precision=0.5488 recall=0.5485 roc=0.5485 
[2019-08-02 21:59:23,295]: length=38 accuarcy=0.5545 f1=0.5540 precision=0.5548 recall=0.5545 roc=0.5545 
[2019-08-02 21:59:47,967]: length=39 accuarcy=0.5578 f1=0.5570 precision=0.5579 recall=0.5576 roc=0.5576 
[2019-08-02 22:00:12,318]: length=40 accuarcy=0.5647 f1=0.5632 precision=0.5655 recall=0.5646 roc=0.5646 
[2019-08-02 22:00:37,749]: length=41 accuarcy=0.5494 f1=0.5488 precision=0.5498 recall=0.5495 roc=0.5495 
[2019-08-02 22:01:02,424]: length=42 accuarcy=0.5759 f1=0.5753 precision=0.5761 recall=0.5758 roc=0.5758 
[2019-08-02 22:01:27,230]: length=43 accuarcy=0.5594 f1=0.5581 precision=0.5604 recall=0.5596 roc=0.5596 
[2019-08-02 22:01:52,070]: length=44 accuarcy=0.5677 f1=0.5668 precision=0.5682 recall=0.5677 roc=0.5677 
[2019-08-02 22:02:17,059]: length=45 accuarcy=0.5575 f1=0.5563 precision=0.5583 recall=0.5576 roc=0.5576 
[2019-08-02 22:02:42,224]: length=46 accuarcy=0.5607 f1=0.5582 precision=0.5620 recall=0.5606 roc=0.5606 
[2019-08-02 22:03:06,534]: length=47 accuarcy=0.5515 f1=0.5510 precision=0.5518 recall=0.5515 roc=0.5515 
[2019-08-02 22:03:33,062]: length=48 accuarcy=0.5718 f1=0.5708 precision=0.5723 recall=0.5717 roc=0.5717 
[2019-08-02 22:03:57,744]: length=49 accuarcy=0.5657 f1=0.5635 precision=0.5670 recall=0.5657 roc=0.5657 
[2019-08-02 22:04:21,473]: length=50 accuarcy=0.5626 f1=0.5614 precision=0.5634 recall=0.5626 roc=0.5626 
[2019-08-02 22:04:44,557]: length=51 accuarcy=0.5476 f1=0.5462 precision=0.5480 recall=0.5475 roc=0.5475 
[2019-08-02 22:05:12,464]: length=52 accuarcy=0.5497 f1=0.5477 precision=0.5503 recall=0.5495 roc=0.5495 
[2019-08-02 22:05:36,575]: length=53 accuarcy=0.5708 f1=0.5693 precision=0.5717 recall=0.5707 roc=0.5707 
[2019-08-02 22:06:00,178]: length=54 accuarcy=0.5508 f1=0.5490 precision=0.5512 recall=0.5505 roc=0.5505 
[2019-08-02 22:06:23,776]: length=55 accuarcy=0.5617 f1=0.5607 precision=0.5622 recall=0.5616 roc=0.5616 
[2019-08-02 22:06:48,164]: length=56 accuarcy=0.5758 f1=0.5737 precision=0.5772 recall=0.5758 roc=0.5758 
[2019-08-02 22:07:11,994]: length=57 accuarcy=0.5809 f1=0.5793 precision=0.5820 recall=0.5808 roc=0.5808 
[2019-08-02 22:07:34,630]: length=58 accuarcy=0.5818 f1=0.5808 precision=0.5826 recall=0.5818 roc=0.5818 
[2019-08-02 22:07:57,077]: length=59 accuarcy=0.5678 f1=0.5662 precision=0.5686 recall=0.5677 roc=0.5677 
[2019-08-02 22:08:19,843]: length=60 accuarcy=0.5638 f1=0.5617 precision=0.5648 recall=0.5636 roc=0.5636 
[2019-08-02 22:08:43,855]: length=61 accuarcy=0.5790 f1=0.5774 precision=0.5798 recall=0.5788 roc=0.5788 
[2019-08-02 22:09:08,753]: length=62 accuarcy=0.5818 f1=0.5807 precision=0.5827 recall=0.5818 roc=0.5818 
[2019-08-02 22:09:33,837]: length=63 accuarcy=0.5830 f1=0.5800 precision=0.5851 recall=0.5828 roc=0.5828 
[2019-08-02 22:09:58,334]: length=64 accuarcy=0.5728 f1=0.5706 precision=0.5742 recall=0.5727 roc=0.5727 
[2019-08-02 22:10:22,535]: length=65 accuarcy=0.5739 f1=0.5716 precision=0.5752 recall=0.5737 roc=0.5737 
[2019-08-02 22:10:46,902]: length=66 accuarcy=0.5740 f1=0.5723 precision=0.5748 recall=0.5737 roc=0.5737 
[2019-08-02 22:11:11,842]: length=67 accuarcy=0.5759 f1=0.5740 precision=0.5770 recall=0.5758 roc=0.5758 
[2019-08-02 22:11:36,198]: length=68 accuarcy=0.5970 f1=0.5937 precision=0.6002 recall=0.5970 roc=0.5970 
[2019-08-02 22:12:00,031]: length=69 accuarcy=0.5647 f1=0.5635 precision=0.5653 recall=0.5646 roc=0.5646 
[2019-08-02 22:12:24,036]: length=70 accuarcy=0.5800 f1=0.5784 precision=0.5809 recall=0.5798 roc=0.5798 
[2019-08-02 22:12:48,336]: length=71 accuarcy=0.5710 f1=0.5697 precision=0.5714 recall=0.5707 roc=0.5707 
