length,accuracy,f1,precision,recall,roc
138,0.7818,0.7815,0.7816,0.7818,0.7793
139,0.7545,0.7539,0.7543,0.7545,0.7512
140,0.7909,0.7903,0.7909,0.7909,0.7878
141,0.7818,0.7803,0.7835,0.7818,0.7767
142,0.7818,0.7795,0.7857,0.7818,0.7753
143,0.7909,0.7872,0.8002,0.7909,0.7825
144,0.7545,0.7539,0.7543,0.7545,0.7512
145,0.7545,0.7524,0.7565,0.7545,0.7486
146,0.7636,0.7636,0.7636,0.7636,0.7624
147,0.7818,0.7803,0.7835,0.7818,0.7767
148,0.7818,0.7795,0.7857,0.7818,0.7753
149,0.7818,0.7809,0.7822,0.7818,0.7780
150,0.7455,0.7427,0.7481,0.7455,0.7388
