length,accuracy,f1,precision,recall,roc
1,0.5818,0.5811,0.5808,0.5818,0.5783
21,0.7273,0.7268,0.7268,0.7273,0.7245
41,0.7364,0.7362,0.7361,0.7364,0.7343
61,0.7273,0.7268,0.7268,0.7273,0.7245
81,0.7545,0.7544,0.7543,0.7545,0.7526
101,0.7545,0.7532,0.7550,0.7545,0.7499
121,0.7636,0.7627,0.7638,0.7636,0.7597
141,0.7455,0.7437,0.7464,0.7455,0.7401
150,0.7364,0.7356,0.7360,0.7364,0.7330
