length,accuracy,f1,precision,recall,roc
135,0.8478,0.8474,0.8478,0.8478,0.8436
136,0.8587,0.8580,0.8592,0.8587,0.8534
137,0.8370,0.8362,0.8372,0.8370,0.8314
138,0.8370,0.8362,0.8372,0.8370,0.8314
139,0.8478,0.8474,0.8478,0.8478,0.8436
140,0.8478,0.8474,0.8478,0.8478,0.8436
141,0.8152,0.8150,0.8149,0.8152,0.8118
142,0.8478,0.8474,0.8478,0.8478,0.8436
143,0.8478,0.8474,0.8478,0.8478,0.8436
144,0.8370,0.8362,0.8372,0.8370,0.8314
145,0.8370,0.8362,0.8372,0.8370,0.8314
146,0.8478,0.8468,0.8491,0.8478,0.8412
147,0.8370,0.8362,0.8372,0.8370,0.8314
148,0.8696,0.8687,0.8712,0.8696,0.8632
149,0.8370,0.8367,0.8367,0.8370,0.8338
150,0.8478,0.8474,0.8478,0.8478,0.8436
151,0.8478,0.8474,0.8478,0.8478,0.8436
152,0.8370,0.8367,0.8367,0.8370,0.8338
153,0.8587,0.8580,0.8592,0.8587,0.8534
154,0.8478,0.8468,0.8491,0.8478,0.8412
155,0.8478,0.8468,0.8491,0.8478,0.8412
156,0.8478,0.8474,0.8478,0.8478,0.8436
157,0.8478,0.8468,0.8491,0.8478,0.8412
158,0.8261,0.8249,0.8269,0.8261,0.8192
159,0.8261,0.8256,0.8259,0.8261,0.8216
160,0.8587,0.8580,0.8592,0.8587,0.8534
161,0.8696,0.8687,0.8712,0.8696,0.8632
162,0.8261,0.8261,0.8261,0.8261,0.8240
163,0.8370,0.8367,0.8367,0.8370,0.8338
164,0.8478,0.8474,0.8478,0.8478,0.8436
165,0.8478,0.8474,0.8478,0.8478,0.8436
166,0.8478,0.8474,0.8478,0.8478,0.8436
167,0.8478,0.8468,0.8491,0.8478,0.8412
168,0.8370,0.8362,0.8372,0.8370,0.8314
169,0.8696,0.8687,0.8712,0.8696,0.8632
170,0.8478,0.8474,0.8478,0.8478,0.8436
171,0.8478,0.8468,0.8491,0.8478,0.8412
172,0.8804,0.8793,0.8837,0.8804,0.8730
173,0.8370,0.8362,0.8372,0.8370,0.8314
174,0.8587,0.8580,0.8592,0.8587,0.8534
175,0.8370,0.8362,0.8372,0.8370,0.8314
176,0.8370,0.8362,0.8372,0.8370,0.8314
177,0.8478,0.8468,0.8491,0.8478,0.8412
178,0.8587,0.8580,0.8592,0.8587,0.8534
