class,uncharger.uncharger.gap3,alphaticr.alphaticr.gap4,aromatic.uncharger.gap0,postivecharger.aromatic.gap3,uncharger.postivecharger.gap2,aromatic.uncharger.gap4,uncharger.aromatic.gap5,aromatic.negativecharger.gap0,negativecharger.alphaticr.gap4,postivecharger.negativecharger.gap5
1.0,0.12142857142857146,0.13620071684587814,0.04593639575971732,0.014285714285714284,0.028469750889679717,0.021505376344086027,0.02158273381294964,0.00353356890459364,0.025089605734767026,0.014388489208633094
1.0,0.08629441624365483,0.14067796610169492,0.021885521885521887,0.008460236886632827,0.040540540540540536,0.022033898305084745,0.022071307300509338,0.008417508417508417,0.04745762711864407,0.02376910016977929
1.0,0.15227272727272728,0.08200455580865604,0.033860045146726865,0.00909090909090909,0.07936507936507936,0.03189066059225513,0.0273972602739726,0.0,0.02277904328018224,0.0091324200913242
1.0,0.14769975786924938,0.1529126213592233,0.021634615384615384,0.007263922518159807,0.04830917874396135,0.029126213592233014,0.0340632603406326,0.004807692307692308,0.024271844660194167,0.012165450121654502
1.0,0.15763546798029554,0.16790123456790124,0.02444987775061125,0.007389162561576354,0.031941031941031935,0.02469135802469136,0.01485148514851485,0.004889975550122249,0.037037037037037035,0.012376237623762377
1.0,0.14332247557003258,0.08496732026143791,0.035483870967741936,0.016286644951140062,0.06168831168831169,0.04248366013071896,0.02950819672131148,0.00967741935483871,0.02287581699346405,0.009836065573770493
1.0,0.07291666666666667,0.22715404699738906,0.025839793281653745,0.0078125,0.03116883116883117,0.013054830287206266,0.010471204188481676,0.002583979328165375,0.020887728459530026,0.0
1.0,0.12857142857142856,0.12544802867383512,0.0353356890459364,0.0071428571428571435,0.02491103202846975,0.025089605734767026,0.03597122302158273,0.0,0.04301075268817205,0.0
1.0,0.10245901639344264,0.11522633744855967,0.032388663967611336,0.012295081967213116,0.053061224489795916,0.037037037037037035,0.033057851239669415,0.0,0.03292181069958848,0.012396694214876032
1.0,0.1272189349112426,0.07418397626112759,0.03812316715542522,0.005917159763313609,0.038348082595870206,0.029673590504451036,0.020833333333333332,0.005865102639296189,0.03560830860534125,0.020833333333333332
1.0,0.12834224598930485,0.1126005361930295,0.03183023872679045,0.01871657754010695,0.034666666666666665,0.04021447721179625,0.03225806451612903,0.007957559681697613,0.03485254691689008,0.016129032258064516
1.0,0.10830324909747292,0.16666666666666666,0.025,0.0036101083032490976,0.03597122302158273,0.014492753623188406,0.029090909090909087,0.0035714285714285718,0.03985507246376811,0.014545454545454544
1.0,0.11384615384615385,0.15432098765432098,0.03353658536585366,0.012307692307692308,0.04601226993865031,0.027777777777777776,0.021671826625387004,0.006097560975609756,0.0308641975308642,0.0030959752321981426
1.0,0.08984375,0.09803921568627452,0.04247104247104247,0.01953125,0.042801556420233464,0.027450980392156862,0.031496062992125984,0.003861003861003861,0.0392156862745098,0.015748031496062992
1.0,0.08761329305135952,0.1787878787878788,0.026946107784431145,0.012084592145015106,0.04216867469879519,0.027272727272727268,0.02127659574468085,0.008982035928143712,0.03636363636363636,0.015197568389057753
1.0,0.10303030303030304,0.1519756838905775,0.03903903903903904,0.01212121212121212,0.03625377643504532,0.030395136778115506,0.021341463414634148,0.0,0.02735562310030395,0.006097560975609756
1.0,0.12931034482758622,0.1729106628242075,0.0227920227920228,0.011494252873563218,0.04297994269340974,0.025936599423631124,0.011560693641618495,0.0028490028490028487,0.02881844380403458,0.008670520231213872
1.0,0.09574468085106384,0.20320855614973266,0.026178010471204192,0.010638297872340424,0.037037037037037035,0.032085561497326213,0.04301075268817205,0.005235602094240838,0.026737967914438502,0.010752688172043013
1.0,0.0660377358490566,0.08571428571428573,0.027522935779816515,0.009433962264150943,0.04672897196261682,0.01904761904761905,0.04807692307692308,0.0,0.0380952380952381,0.038461538461538464
1.0,0.08539944903581267,0.12430939226519334,0.02185792349726776,0.008264462809917356,0.038461538461538464,0.016574585635359115,0.01662049861495845,0.00273224043715847,0.03038674033149171,0.01662049861495845
1.0,0.10067114093959732,0.1111111111111111,0.029900332225913626,0.006711409395973154,0.033444816053511704,0.020202020202020204,0.027027027027027032,0.003322259136212625,0.04713804713804714,0.02364864864864865
1.0,0.0990990990990991,0.12650602409638553,0.017857142857142856,0.01801801801801801,0.05688622754491018,0.021084337349397592,0.03625377643504532,0.011904761904761904,0.024096385542168683,0.015105740181268885
1.0,0.07836990595611286,0.12264150943396225,0.024844720496894408,0.01567398119122257,0.065625,0.018867924528301886,0.025236593059936908,0.006211180124223602,0.034591194968553465,0.01577287066246057
1.0,0.0821529745042493,0.14488636363636365,0.01966292134831461,0.0,0.04519774011299435,0.03409090909090909,0.017094017094017096,0.002808988764044944,0.04261363636363636,0.011396011396011395
1.0,0.12037037037037035,0.102803738317757,0.01801801801801801,0.018518518518518517,0.07339449541284404,0.018691588785046728,0.018867924528301886,0.009009009009009007,0.0,0.0
