class,AA_Kmer2,AC_Kmer2,AG_Kmer2,AU_Kmer2,CA_Kmer2,CC_Kmer2,CG_Kmer2,CU_Kmer2,GA_Kmer2,GC_Kmer2,GG_Kmer2,GU_Kmer2,UA_Kmer2,UC_Kmer2,UG_Kmer2,UU_Kmer2,AA_PC-PseDNC-General,AC_PC-PseDNC-General,AG_PC-PseDNC-General,AU_PC-PseDNC-General,CA_PC-PseDNC-General,CC_PC-PseDNC-General,CG_PC-PseDNC-General,CU_PC-PseDNC-General,GA_PC-PseDNC-General,GC_PC-PseDNC-General,GG_PC-PseDNC-General,GU_PC-PseDNC-General,UA_PC-PseDNC-General,UC_PC-PseDNC-General,UG_PC-PseDNC-General,UU_PC-PseDNC-General,lambda1_PC-PseDNC-General,lambda2_PC-PseDNC-General,lambda3_PC-PseDNC-General,lambda4_PC-PseDNC-General,lambda5_PC-PseDNC-General,lambda6_PC-PseDNC-General,lambda7_PC-PseDNC-General,lambda8_PC-PseDNC-General,lambda9_PC-PseDNC-General,lambda10_PC-PseDNC-General,1_DAC,2_DAC,3_DAC,4_DAC,5_DAC,6_DAC,7_DAC,8_DAC,9_DAC,10_DAC,11_DAC,12_DAC,13_DAC,14_DAC,15_DAC,16_DAC,17_DAC,18_DAC,19_DAC,20_DAC,21_DAC,22_DAC,23_DAC,24_DAC,25_DAC,26_DAC,27_DAC,28_DAC,29_DAC,30_DAC,31_DAC,32_DAC,33_DAC,34_DAC,35_DAC,36_DAC,37_DAC,38_DAC,39_DAC,40_DAC,41_DAC,42_DAC,43_DAC,44_DAC,45_DAC,46_DAC,47_DAC,48_DAC,49_DAC,50_DAC,51_DAC,52_DAC,53_DAC,54_DAC,55_DAC,56_DAC,57_DAC,58_DAC,59_DAC,60_DAC
1,0.0,0.05,0.05,0.0,0.1,0.2,0.1,0.15,0.0,0.15,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.021,0.021,0.0,0.041,0.082,0.041,0.062,0.0,0.062,0.021,0.0,0.0,0.062,0.0,0.0,0.071,0.073,0.039,0.056,0.079,0.049,0.037,0.082,0.051,0.051,-0.003,-0.672,0.013,-1.657,0.001,0.005,-0.0,-1.042,0.061,-2.5,-0.009,-0.029,0.0,0.766,-0.015,-0.78,-0.029,-0.029,-0.003,-0.399,-0.055,1.049,-0.036,-0.029,0.003,0.754,-0.0,-2.439,-0.027,-0.003,-0.005,2.862,-0.043,0.011,0.017,0.041,0.008,3.252,-0.004,0.895,0.005,0.005,0.004,-0.338,-0.119,-4.583,-0.022,-0.031,-0.003,1.857,-0.147,1.703,-0.03,-0.007,0.003,3.004,-0.289,-0.763,-0.067,-0.018
1,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.2,0.05,0.05,0.0,0.05,0.05,0.1,0.1,0.25,0.029,0.029,0.0,0.0,0.0,0.029,0.0,0.115,0.029,0.029,0.0,0.029,0.029,0.058,0.058,0.144,0.045,0.045,0.039,0.05,0.044,0.044,0.035,0.024,0.052,0.046,-0.001,-0.231,0.091,-0.418,-0.0,0.003,-0.001,-1.438,0.083,0.585,0.026,0.001,0.0,-1.066,0.24,2.901,0.015,0.001,-0.001,-2.535,-0.128,1.632,-0.015,-0.044,-0.001,-1.689,-0.151,2.793,-0.001,-0.023,0.001,-0.525,0.076,1.286,-0.002,-0.016,0.003,-0.59,-0.199,2.215,0.035,-0.027,-0.003,0.331,-0.059,3.575,0.053,0.008,0.001,-2.34,0.249,6.818,0.043,0.007,-0.004,-3.124,-0.12,5.947,-0.003,-0.044
1,0.05,0.0,0.05,0.05,0.0,0.1,0.05,0.05,0.1,0.05,0.2,0.05,0.0,0.05,0.1,0.1,0.023,0.0,0.023,0.023,0.0,0.045,0.023,0.023,0.045,0.023,0.091,0.023,0.0,0.023,0.045,0.045,0.056,0.054,0.073,0.053,0.042,0.051,0.051,0.056,0.056,0.055,0.004,0.354,-0.159,-0.224,0.0,0.007,0.002,1.112,-0.058,2.421,-0.007,-0.011,-0.001,-0.375,0.082,0.966,-0.015,-0.027,-0.003,3.247,-0.018,-5.296,-0.004,0.021,-0.003,3.812,-0.02,-3.46,0.04,0.049,-0.004,5.894,-0.04,-5.47,0.046,0.046,-0.002,2.497,0.112,6.093,0.041,-0.009,-0.004,3.361,-0.038,4.838,0.03,-0.029,-0.002,4.4,0.088,3.263,0.008,-0.003,-0.003,7.919,-0.142,4.726,0.042,0.055
1,0.0,0.1,0.05,0.0,0.1,0.15,0.0,0.1,0.0,0.1,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.043,0.022,0.0,0.043,0.065,0.0,0.043,0.0,0.043,0.065,0.022,0.022,0.022,0.022,0.022,0.056,0.053,0.047,0.058,0.067,0.064,0.045,0.057,0.055,0.065,0.001,-0.4,0.083,-0.341,-0.001,0.006,0.0,1.766,0.045,-0.623,0.0,0.01,0.002,1.827,-0.056,1.415,0.036,0.016,-0.003,1.18,-0.107,0.22,0.007,-0.003,-0.005,1.374,-0.095,0.119,0.009,0.008,-0.004,-0.562,-0.212,0.105,-0.004,-0.012,-0.004,-0.596,-0.163,-0.004,-0.024,-0.046,-0.003,-4.574,-0.134,-1.618,-0.043,-0.082,-0.002,-4.59,-0.066,3.66,-0.063,-0.08,-0.003,-7.843,0.017,3.174,-0.074,-0.073
1,0.0,0.1,0.1,0.0,0.1,0.15,0.05,0.1,0.0,0.2,0.0,0.0,0.05,0.0,0.05,0.1,0.0,0.043,0.043,0.0,0.043,0.064,0.021,0.043,0.0,0.085,0.0,0.0,0.021,0.0,0.021,0.043,0.094,0.034,0.071,0.047,0.065,0.051,0.043,0.06,0.063,0.045,0.004,-2.582,-0.004,-2.679,0.001,0.005,-0.0,0.771,0.06,2.418,0.027,0.007,-0.003,-0.903,0.057,0.755,0.038,0.013,-0.002,0.143,0.053,5.98,0.026,0.016,-0.003,0.176,-0.023,-2.533,0.033,0.034,-0.003,-2.402,-0.012,8.703,0.021,0.008,-0.004,0.349,0.04,0.283,0.027,0.023,-0.002,-1.7,-0.138,4.294,0.013,0.028,0.003,-3.726,0.055,3.033,0.006,0.022,0.004,-0.669,0.018,5.716,0.021,0.06
1,0.05,0.0,0.2,0.05,0.0,0.0,0.0,0.05,0.15,0.05,0.15,0.1,0.1,0.0,0.1,0.0,0.024,0.0,0.096,0.024,0.0,0.0,0.0,0.024,0.072,0.024,0.072,0.048,0.048,0.0,0.048,0.0,0.061,0.056,0.051,0.049,0.06,0.06,0.06,0.047,0.027,0.048,0.001,-0.203,-0.128,-0.778,0.001,0.009,-0.002,1.433,0.007,-0.857,0.008,0.008,-0.001,1.969,-0.107,2.477,0.004,0.01,-0.001,1.232,0.175,1.602,0.008,0.022,-0.0,2.455,-0.049,-2.389,0.017,0.04,-0.002,2.234,-0.005,0.538,0.042,0.065,-0.003,2.643,-0.01,-1.324,0.02,0.054,-0.003,2.524,0.064,-2.987,0.011,0.039,0.005,4.849,0.062,2.282,0.008,0.052,0.004,0.693,-0.039,1.063,0.016,0.067
1,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.05,0.1,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.0,0.0,0.073,0.049,0.0,0.0,0.0,0.024,0.049,0.024,0.049,0.049,0.049,0.024,0.049,0.049,0.055,0.052,0.047,0.057,0.041,0.04,0.061,0.052,0.048,0.058,-0.002,-0.814,-0.014,-0.139,-0.0,-0.001,-0.001,-2.386,-0.066,-1.026,-0.013,-0.029,0.003,-1.874,-0.059,-0.548,0.022,-0.016,0.001,-3.57,0.007,2.77,0.016,-0.025,-0.004,-2.031,0.086,1.933,-0.007,-0.039,-0.002,-1.014,-0.219,3.083,0.01,-0.016,0.002,-3.176,-0.172,0.178,0.015,-0.012,-0.003,-1.257,0.022,-2.539,-0.014,-0.035,-0.0,-2.116,0.032,2.608,-0.025,-0.039,0.0,-4.929,0.112,0.837,-0.024,-0.02
1,0.0,0.05,0.05,0.1,0.1,0.1,0.0,0.0,0.05,0.05,0.1,0.1,0.05,0.05,0.15,0.05,0.0,0.024,0.024,0.047,0.047,0.047,0.0,0.0,0.024,0.024,0.047,0.047,0.024,0.024,0.071,0.024,0.064,0.064,0.035,0.046,0.066,0.057,0.041,0.07,0.053,0.029,-0.002,-1.475,0.088,-0.332,-0.002,0.002,-0.001,-1.095,-0.013,-2.187,-0.006,-0.001,0.001,2.132,-0.124,-0.721,0.024,0.021,-0.0,0.042,-0.043,-0.52,0.004,0.002,0.0,-1.366,-0.052,-1.691,-0.016,-0.04,0.002,0.416,0.093,-8.613,-0.012,-0.032,0.0,2.755,0.061,-4.652,-0.038,-0.033,-0.001,-1.312,-0.11,-3.294,-0.002,-0.013,0.001,2.642,-0.218,-3.416,-0.006,0.002,0.002,4.288,-0.136,-4.447,-0.02,-0.011
1,0.05,0.0,0.1,0.05,0.0,0.05,0.05,0.15,0.1,0.1,0.05,0.05,0.05,0.1,0.05,0.05,0.022,0.0,0.045,0.022,0.0,0.022,0.022,0.067,0.045,0.045,0.022,0.022,0.022,0.045,0.022,0.022,0.061,0.06,0.056,0.065,0.045,0.065,0.06,0.044,0.051,0.047,-0.001,-0.601,-0.151,-0.77,0.0,-0.001,-0.003,-1.624,0.057,-0.769,-0.02,-0.026,0.004,-0.768,-0.128,2.059,-0.025,-0.016,0.004,-0.293,0.107,-0.451,-0.036,-0.027,-0.006,1.763,-0.124,-5.558,-0.023,-0.019,-0.002,-1.117,0.144,-5.289,0.022,-0.014,0.001,1.708,-0.127,-9.866,0.03,0.005,-0.002,1.169,-0.105,-9.702,0.006,-0.011,-0.006,-1.256,-0.083,-0.416,0.001,-0.063,-0.0,-2.702,-0.085,-0.426,-0.037,-0.099
1,0.05,0.05,0.1,0.05,0.0,0.1,0.0,0.1,0.2,0.0,0.05,0.0,0.05,0.05,0.1,0.1,0.031,0.031,0.061,0.031,0.0,0.061,0.0,0.061,0.123,0.0,0.031,0.0,0.031,0.031,0.061,0.061,0.04,0.047,0.046,0.035,0.034,0.036,0.022,0.041,0.05,0.036,-0.0,0.046,-0.064,-0.102,-0.002,0.003,-0.002,-0.495,-0.159,2.102,-0.007,-0.007,0.001,-0.109,-0.045,3.449,0.011,0.022,0.001,0.409,0.043,2.214,-0.012,0.009,0.001,0.241,0.062,2.698,0.033,0.023,-0.002,0.22,-0.17,6.207,0.024,0.02,-0.002,0.73,0.218,5.591,0.013,-0.001,0.003,-0.5,0.036,4.145,-0.001,-0.04,-0.001,-1.276,-0.137,2.321,-0.032,-0.072,-0.003,0.594,-0.133,4.568,-0.001,-0.02
